=== Three-Tier TLB BFS Only (scale=18) ===

Generating RMAT graph: scale=18, nodes=262144, target_edges=4194304
  After dedup: 7611804 directed edges (29.0 MB edge data)
  Avg degree: 29.0, Max degree: 25181
Graph: 262144 nodes, 7611804 edges (29.0 MB)
Pages: 7434
Source: 0 (degree 25181)

[Target T]...
  21.34 ms, 4 levels, 174003 reached

[3-Tier TLB, 100% cache]...
  Cache: 7434 slots (29.0 MB)
  Level 0 (frontier=1)...
  Level 1 (frontier=25181)...
TLB conflict: c=11400000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11400000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11400000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11500000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11500000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11500000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11600000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11600000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11600000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11700000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11700000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11700000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11800000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11800000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11800000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=11900000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=11900000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=11900000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=12000000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=12000000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=12000000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=12100000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=12100000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=12100000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=12200000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=12200000 tid=196 wanted=357 got=101 st=0x1
TLB conflict: c=12200000 tid=192 wanted=349 got=93 st=0x1
TLB conflict: c=12300000 tid=160 wanted=330 got=74 st=0x1
TLB conflict: c=12300000 tid=196 wanted=357 got=101 st=0x1
